geo,year,gdp,pop,employment_rate,NUTS_NAME,CNTR_CODE,dominant_class,dominant_koppen,pct_Dfb,pct_Dfc,pct_ET,pct_Cfb,pct_BSk,pct_EF,pct_BSh,pct_Csa,pct_Csb,pct_Dsb,pct_Cfa,pct_Dsc,pct_BWk,pct_Dfa,pct_Af,pct_Am,pct_Aw,pct_Dsa,pct_Cfc,pct_BWh,pct_Csc,nights_spent
CY00,2000,15600.0,690497.0,72.0,Κύπρος,CY,8.0,Csa,0.0,0.0,0.0,0.0,0.0,0.0,0.2078246813871044,0.7848724997945948,0.0072016620112936,0.0001011568070072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17419055.0
CZ01,2000,12800.0,1186855.0,77.7,Praha,CZ,15.0,Cfb,0.4090745047143445,0.0,0.0,0.5863592728131962,0.0061820394724588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7333182.0
CZ02,2000,6600.0,1111354.0,71.8,Střední Čechy,CZ,26.0,Dfb,0.8109945247239544,1.1111994973034495e-05,0.0,0.189005474674386,2.777998743258624e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2863879.0
CZ03,2000,6200.0,1177982.0,73.8,Jihozápad,CZ,26.0,Dfb,0.9849717393537414,0.0150282606462589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5993987.0
CZ04,2000,5500.0,1131974.0,65.9,Severozápad,CZ,26.0,Dfb,0.8634858736847804,0.0118860580772835,0.0,0.1271360061795299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5899583.0
CZ05,2000,5900.0,1489407.0,72.6,Severovýchod,CZ,26.0,Dfb,0.972929129948801,0.0269801319097231,9.073814147619606e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9538095.0
CZ06,2000,5800.0,1658761.0,72.1,Jihovýchod,CZ,26.0,Dfb,0.9683976667389342,0.0,0.0,0.0274583698134622,0.0041439634476038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5035470.0
CZ07,2000,5300.0,1240355.0,68.9,Střední Morava,CZ,26.0,Dfb,0.9751745184286614,0.0248254815713388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4428073.0
CZ08,2000,5100.0,1281410.0,64.3,Moravskoslezsko,CZ,26.0,Dfb,0.9840298074387448,0.0159701925612554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3107347.0
DE11,2000,33600.0,3917305.0,73.7,Stuttgart,DE,15.0,Cfb,0.1843874601775536,0.0,0.0,0.8156125398224465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7936772.0
DE12,2000,29600.0,2676257.0,70.4,Karlsruhe,DE,15.0,Cfb,0.1445615471808941,0.0001022330626793,0.0,0.8554382645087995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8453724.0
DE13,2000,25500.0,2125364.0,73.0,Freiburg,DE,15.0,Cfb,0.4157399147279452,0.0047226520706316,0.0,0.581511661782927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11512962.0
DE14,2000,26800.0,1757006.0,75.9,Tübingen,DE,26.0,Dfb,0.6047695773897847,0.0,0.0,0.3952304226102153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5156367.0
DE21,2000,38400.0,4033643.0,74.7,Oberbayern,DE,26.0,Dfb,0.6419386035726415,0.0374441930951337,0.0021745758604475,0.3201409259648364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27373916.0
DE22,2000,23400.0,1170170.0,73.4,Niederbayern,DE,26.0,Dfb,0.7114875892304797,0.0116130365465204,0.0,0.2781474755139195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11254867.0
DE23,2000,24900.0,1074338.0,71.3,Oberpfalz,DE,26.0,Dfb,0.9882954660900836,0.0018330675507826,0.0,0.0098714663591339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4781797.0
DE24,2000,22800.0,1114155.0,71.4,Oberfranken,DE,26.0,Dfb,0.7174057300744521,0.0007540335903997,0.0,0.2823643332013523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4177700.0
DE25,2000,28400.0,1683282.0,72.0,Mittelfranken,DE,15.0,Cfb,0.3583781100412821,0.0,0.0,0.641621889958718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5633008.0
DE26,2000,25100.0,1333803.0,70.6,Unterfranken,DE,15.0,Cfb,0.1100904494641205,0.0005417904064581,0.0,0.8899095471821864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4699276.0
DE27,2000,25000.0,1745576.0,73.6,Schwaben,DE,15.0,Cfb,0.4647830872122991,0.0327550911344081,0.0003107462057295,0.5033773862501854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11671113.0
DE30,2000,25900.0,3386667.0,63.5,Berlin,DE,15.0,Cfb,0.0026818252041683,0.0,0.0,0.997318174795832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11545562.0
DE40,2000,17300.0,2601207.0,66.6,Brandenburg,DE,15.0,Cfb,0.0026817661847157,0.0,0.0,0.9973182338152844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7691247.0
DE50,2000,33900.0,663065.0,64.4,Bremen,DE,15.0,Cfb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352359.0
DE60,2000,46500.0,1704735.0,69.4,Hamburg,DE,15.0,Cfb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4875166.0
